index,YEAR,EMPLOYER_POSTAL_CODE,EMPLOYER_POSTAL_CODE_OCCURRENCE,EMPLOYER_POSTAL_CODE_OCCURRENCE_LOG,MAJOR_EMPLOYER_POSTAL_CODE_OCCURRENCE,MAJOR_EMPLOYER_POSTAL_CODE_OCCURRENCE_LOG
620,2020,14843,29,15.6239799789896,4,7.02059991327962
621,2020,14850,19,13.7875360095283,1,1.0
622,2020,14853,89,20.4939000664491,2,4.01029995663981
623,2020,15024,1,1.0,1,1.0
624,2020,15055,1,1.0,1,1.0
625,2020,15086,16,13.0411998265592,11,11.4139268515823
626,2020,15108,668,29.2477646247555,2,4.01029995663981
627,2020,15146,31,15.9136169383427,9,10.5424250943932
628,2020,15203,22,14.4242268082221,2,4.01029995663981
629,2020,15205,97,20.8677173426624,2,4.01029995663981
630,2020,15212,64,19.0617997398389,3,5.77121254719662
631,2020,15213,199,23.9885307640971,3,5.77121254719662
632,2020,15217,18,13.5527250510331,3,5.77121254719662
633,2020,15219,702,29.4633711212981,22,14.4242268082221
634,2020,15222,885,30.4694327069783,19,13.7875360095283
635,2020,15233,2,4.01029995663981,1,1.0
636,2020,15236,5,7.98970004336019,4,7.02059991327962
637,2020,15237,21,14.2221929473392,3,5.77121254719662
638,2020,15238,22,14.4242268082221,4,7.02059991327962
639,2020,15301,7,9.45098040014257,3,5.77121254719662
640,2020,15317,482,27.8304703823885,31,15.9136169383427
641,2020,15601,2,4.01029995663981,1,1.0
642,2020,15644,5,7.98970004336019,1,1.0
643,2020,15825,1,1.0,1,1.0
644,2020,15857,2,4.01029995663981,1,1.0
645,2020,16056,17,13.3044892137827,10,11.0
646,2020,16066,15,12.7609125905568,2,4.01029995663981
647,2020,16159,3,5.77121254719662,3,5.77121254719662
648,2020,16335,7,9.45098040014257,1,1.0
649,2020,16510,3,5.77121254719662,1,1.0
650,2020,17011,32,16.0514997831991,1,1.0
651,2020,17050,13,12.1394335230684,1,1.0
652,2020,17319,1,1.0,1,1.0
653,2020,17401,16,13.0411998265592,3,5.77121254719662
654,2020,17406,4,7.02059991327962,1,1.0
655,2020,17603,3,5.77121254719662,1,1.0
656,2020,18017,37,16.68201724067,4,7.02059991327962
657,2020,18018,6,8.78151250383644,1,1.0
658,2020,18036,17,13.3044892137827,4,7.02059991327962
659,2020,18055,3,5.77121254719662,3,5.77121254719662
660,2020,18106,5,7.98970004336019,2,4.01029995663981
661,2020,18195,16,13.0411998265592,2,4.01029995663981
662,2020,18915,4,7.02059991327962,3,5.77121254719662
663,2020,18940,547,28.3798732633343,9,10.5424250943932
664,2020,19002,4,7.02059991327962,1,1.0
665,2020,19034,97,20.8677173426624,10,11.0
666,2020,19044,6,8.78151250383644,1,1.0
667,2020,19053,19,13.7875360095283,1,1.0
668,2020,19090,2,4.01029995663981,1,1.0
669,2020,19103,6021,38.7966862720715,7,9.45098040014257
670,2020,19106,33,16.1851393987789,1,1.0
671,2020,19122,39,16.910646070265,1,1.0
672,2020,19123,7,9.45098040014257,1,1.0
673,2020,19130,22,14.4242268082221,1,1.0
674,2020,19312,72,19.5733249643127,7,9.45098040014257
675,2020,19331,2,4.01029995663981,1,1.0
676,2020,19341,185,23.6717172840301,1,1.0
677,2020,19348,154,22.8752072083646,31,15.9136169383427
678,2020,19355,518,28.1432975974523,8,10.0308998699194
679,2020,19380,70,19.4509804001426,7,9.45098040014257
680,2020,19403,28,15.4715803134222,7,9.45098040014257
681,2020,19406,601,28.7887447200274,13,12.1394335230684
682,2020,19422,204,24.096301674259,23,14.6172783601759
683,2020,19438,1,1.0,1,1.0
684,2020,19446,9,10.5424250943932,1,1.0
685,2020,19473,9,10.5424250943932,6,8.78151250383644
686,2020,19518,132,22.2057393120585,15,12.7609125905568
687,2020,19605,15,12.7609125905568,9,10.5424250943932
688,2020,19607,1,1.0,1,1.0
689,2020,19610,6,8.78151250383644,3,5.77121254719662
690,2020,19702,185,23.6717172840301,2,4.01029995663981
691,2020,19713,73,19.6332286012046,1,1.0
